,localidade,municipio,estado,data_avistamento,municipio_estado
0,Praia Bela,Pitimbu,PB,2019-08-30,Pitimbu/PB
1,Praia de Tambaba,Pitimbu,PB,2019-08-30,Pitimbu/PB
2,Praia de Acau,Pitimbu,PB,2019-08-30,Pitimbu/PB
3,Praia de Gramame,Conde,PB,2019-08-30,Conde/PB
4,Praia de Jacumã,Conde,PB,2019-08-30,Conde/PB
5,Praia de Camboinha,Cabedelo,PB,2019-09-01,Cabedelo/PB
6,Praia do Poço,Cabedelo,PB,2019-09-01,Cabedelo/PB
7,Praia de Intermares,Cabedelo,PB,2019-09-01,Cabedelo/PB
8,Praia Formosa,Cabedelo,PB,2019-09-01,Cabedelo/PB
9,Praia do Cabo Branco,João Pessoa,PB,2019-09-01,João Pessoa/PB
10,Praia de Tambaú,João Pessoa,PB,2019-09-01,João Pessoa/PB
11,Praia de Dell Chifre,Olinda,PE,2019-09-02,Olinda/PE
12,Praia do Janga,Paulista,PE,2019-09-02,Paulista/PE
13,Suape,Ipojuca,PE,2019-09-02,Ipojuca/PE
14,Pau Amarelo,Paulista,PE,2019-09-02,Paulista/PE
15,Conceição,Paulista,PE,2019-09-02,Paulista/PE
16,Maria Farinha,Paulista,PE,2019-09-02,Paulista/PE
17,Praia do Forte Orange,Ilha De Itamaracá,PE,2019-09-02,Ilha De Itamaracá/PE
18,Praia do Porto,Barra Dos Coqueiros,SE,2019-09-02,Barra Dos Coqueiros/SE
19,Praia da Costa,Barra Dos Coqueiros,SE,2019-09-02,Barra Dos Coqueiros/SE
20,Atalaia Nova,Barra Dos Coqueiros,SE,2019-09-02,Barra Dos Coqueiros/SE
21,Praia de Nossa Senhora do Ó,Ipojuca,PE,2019-09-02,Ipojuca/PE
22,Praia de Gamboa,Ipojuca,PE,2019-09-02,Ipojuca/PE
23,Porto de Galinhas,Ipojuca,PE,2019-09-02,Ipojuca/PE
24,Praia do Saco (1),Estância,SE,2019-09-03,Estância/SE
25,Abais,Estância,SE,2019-09-03,Estância/SE
26,Piedade,Jaboatão Dos Guararapes,PE,2019-09-03,Jaboatão Dos Guararapes/PE
27,Candeias,Jaboatão Dos Guararapes,PE,2019-09-03,Jaboatão Dos Guararapes/PE
28,Boa Viagem,Recife,PE,2019-09-03,Recife/PE
29,Carneiros,Tamandaré,PE,2019-09-03,Tamandaré/PE
30,Praia do Paiva,Cabo De Santo Agostinho,PE,2019-09-04,Cabo De Santo Agostinho/PE
31,Lagoa de Praia,Rio Tinto,PB,2019-09-07,Rio Tinto/PB
32,Praia de Campina,Rio Tinto,PB,2019-09-07,Rio Tinto/PB
33,Oiteiro,Rio Tinto,PB,2019-09-07,Rio Tinto/PB
34,Baía Formosa,Baía Formosa,RN,2019-09-07,Baía Formosa/RN
35,Sagi,Baía Formosa,RN,2019-09-07,Baía Formosa/RN
36,Barra do rio Camaratuba,Mataraca,PB,2019-09-07,Mataraca/PB
37,Via Costeira,Natal,RN,2019-09-07,Natal/RN
38,Barra do Rio Mamanguape,Rio Tinto,PB,2019-09-07,Rio Tinto/PB
39,Morro Branco,Beberibe,CE,2019-09-07,Beberibe/CE
40,Praia Ponta de Pedras,Goiana,PE,2019-09-07,Goiana/PE
41,Tamandaré,Tamandaré,PE,2019-09-07,Tamandaré/PE
42,Catuama,Goiana,PE,2019-09-07,Goiana/PE
43,Barra de Sucatinga,Beberibe,CE,2019-09-08,Beberibe/CE
44,Barra do Cunhaú,Canguaretama,RN,2019-09-10,Canguaretama/RN
45,Maracajaú,Maxaranguape,RN,2019-09-10,Maxaranguape/RN
46,Praia da Prainha,Aquiraz,CE,2019-09-10,Aquiraz/CE
47,Praia do Giz,Tibau Do Sul,RN,2019-09-10,Tibau Do Sul/RN
48,Pipa,Tibau Do Sul,RN,2019-09-10,Tibau Do Sul/RN
49,Pirambu,Tibau Do Sul,RN,2019-09-10,Tibau Do Sul/RN
50,Praia do Amor,Tibau Do Sul,RN,2019-09-10,Tibau Do Sul/RN
51,Barra de Tabatinga,Nísia Floresta,RN,2019-09-10,Nísia Floresta/RN
52,Barreta,Nísia Floresta,RN,2019-09-10,Nísia Floresta/RN
53,Camurupim,Nísia Floresta,RN,2019-09-10,Nísia Floresta/RN
54,Pirambúzios,Nísia Floresta,RN,2019-09-10,Nísia Floresta/RN
55,Sibaúma/Das Minas,Tibau Do Sul,RN,2019-09-11,Tibau Do Sul/RN
56,Rio Punaú,Rio Do Fogo,RN,2019-09-11,Rio Do Fogo/RN
57,Praia de Zumbi,Rio Do Fogo,RN,2019-09-11,Rio Do Fogo/RN
58,Pirangi do Norte,Parnamirim,RN,2019-09-11,Parnamirim/RN
59,Barreira do Inferno,Parnamirim,RN,2019-09-11,Parnamirim/RN
60,Perobas,Touros,RN,2019-09-11,Touros/RN
61,Foz do Rio Pirangi/Pium,Nísia Floresta,RN,2019-09-11,Nísia Floresta/RN
62,Pirangi do Sul,Nísia Floresta,RN,2019-09-11,Nísia Floresta/RN
63,Praia de Búzios,Nísia Floresta,RN,2019-09-11,Nísia Floresta/RN
64,Cotolelo,Nísia Floresta,RN,2019-09-11,Nísia Floresta/RN
