"Localidade","Município","Estado","Avistamento "
"Praia Bela","Pitimbu","PB","30/8 "
"Praia de Tambaba","Pitimbu","PB","30/8 "
"Praia de Acau","Pitimbu","PB","30/8 "
"Praia de Gramame","Conde","PB","30/8 "
"Praia de Jacumã","Conde","PB","30/8 "
"Praia de Camboinha","Cabedelo","PB","1/9 "
"Praia do Poço","Cabedelo","PB","1/9 "
"Praia de Intermares","Cabedelo","PB","1/9 "
"Praia Formosa","Cabedelo","PB","1/9 "
"Praia do Cabo Branco","João Pessoa","PB","1/9 "
"Praia de Tambaú","João Pessoa","PB","1/9 "
"Praia de Dell Chifre","Olinda","PE","2/9 "
"Praia do Janga","Paulista","PE","2/9 "
"Suape","Ipojuca","PE","2/9 "
"Pau Amarelo","Paulista","PE","2/9 "
"Conceição","Paulista","PE","2/9 "
"Maria Farinha","Paulista","PE","2/9 "
"Praia do Forte Orange","Ilha de Itamaracá","PE","2/9 "
"Praia do Porto","Barra dos Coqueiros","SE","2/9 "
"Praia da Costa","Barra dos Coqueiros","SE","2/9 "
"Atalaia Nova","Barra dos Coqueiros","SE","2/9 "
"Praia de Nossa Senhora do Ó","Ipojuca","PE","2/9 "
"Praia de Gamboa","Ipojuca","PE","2/9 "
"Porto de Galinhas","Ipojuca","PE","2/9 "
"Praia do Saco (1)","Estância","SE","3/9 "
"Abais","Estância","SE","3/9 "
"Piedade","Jaboatão dos Guararapes","PE","3/9 "
"Candeias","Jaboatão dos Guararapes","PE","3/9 "
"Boa Viagem","Recife","PE","3/9 "
"Carneiros","Tamandaré","PE","3/9 "
"Praia do Paiva","Cabo de Santo Agostinho","PE","4/9 "
"Lagoa de Praia","Rio Tinto","PB","7/9 "
"Praia de Campina","Rio Tinto","PB","7/9 "
"Oiteiro","Rio Tinto","PB","7/9 "
"Baía Formosa","Baía Formosa","RN","7/9 "
"Sagi","Baía Formosa","RN","7/9 "
"Barra do rio Camaratuba","Mataraca","PB","7/9 "
"Via Costeira","Natal","RN","7/9 "
"Barra do Rio Mamanguape","Rio Tinto","PB","7/9 "
"Morro Branco","Beberibe","CE","7/9 "
"Praia Ponta de Pedras","Goiana","PE","7/9 "
"Tamandaré","Tamandaré","PE","7/9 "
"Catuama","Goiana","PE","7/9 "
"Barra de Sucatinga","Beberibe","CE","8/9 "
"Barra do Cunhaú","Canguaretama","RN","10/9 "
"Maracajaú","Maxaranguape","RN","10/9 "
"Praia da Prainha","Aquiraz","CE","10/9 "
"Praia do Giz","Tibau do Sul","RN","10/9 "
"Pipa","Tibau do Sul","RN","10/9 "
"Pirambu","Tibau do Sul","RN","10/9 "
"Praia do Amor","Tibau do Sul","RN","10/9 "
"Barra de Tabatinga","Nísia Floresta","RN","10/9 "
"Barreta","Nísia Floresta","RN","10/9 "
"Camurupim","Nísia Floresta","RN","10/9 "
"Pirambúzios","Nísia Floresta","RN","10/9 "
"Sibaúma/Das Minas","Tibau do Sul","RN","11/9 "
"Rio Punaú","Rio do Fogo","RN","11/9 "
"Praia de Zumbi","Rio do Fogo","RN","11/9 "
"Pirangi do Norte","Parnamirim","RN","11/9 "
"Barreira do Inferno","Parnamirim","RN","11/9 "
"Perobas","Touros","RN","11/9 "
"Foz do Rio Pirangi/Pium","Nísia Floresta","RN","11/9 "
"Pirangi do Sul","Nísia Floresta","RN","11/9 "
"Praia de Búzios","Nísia Floresta","RN","11/9 "
"Cotolelo","Nísia Floresta","RN","11/9 "
"Ponta da Ilha Verde","Nísia Floresta","RN","12/9 "
"Muriú","Maxaranguape","RN","12/9 "
"Foz do Rio Catu","Tibau do Sul","RN","12/9 "
"Ponta Negra","Natal","RN","14/9 "
"Cabo de São Roque","Maxaranguape","RN","14/9 "
"Praia de Touros","Touros","RN","14/9 "
"Praia do Calcanhar","Touros","RN","14/9 "
"Praia de Caraúbas","Maxaranguape","RN","15/9 "
"Pajuçara/Ponta Verde","Maceió","AL","15/9 "
"Ilha dos Poldros","Araioses","MA","16/9 "
"Ponta de Maracajaú","Maxaranguape","RN","17/9 "
"Praia do Forte","Natal","RN","17/9 "
"Praia de Areia Preta","Natal","RN","17/9 "
"Ipioca","Maceió","AL","17/9 "
"Praia do Francês","Marechal Deodoro","AL","18/9 "
"Praia do Carro Quebrado","Passo de Camaragibe","AL","18/9 "
"Barra de São Miguel","Barra de São Miguel","AL","19/9 "
"Redinha","Natal","RN","20/9 "
"Ilha dos Poldros","Araioses","MA","20/9 "
"Barra do Rio","Extremoz","RN","20/9 "
"Praia de Santa Rita","Extremoz","RN","20/9 "
"Jenipabu","Extremoz","RN","20/9 "
"Atins","Barreirinhas","MA","20/9 "
"Lot. Encontro do Mar","Barra de São Miguel","AL","21/9 "
"Praia do Barro Vermelho","Paulino Neves","MA","21/9 "
"Barra de Santo Antônio","Barra de Santo Antônio","AL","22/9 "
"Falésias do Gunga","Roteiro","AL","22/9 "
"Praia do Gunga","Barra de São Miguel","AL","22/9 "
"Praia de Itatinga","Alcântara","MA","22/9 "
"Praia Canto do Atins","Barreirinhas","MA","22/9 "
"Paripueira","Paripueira","AL","22/9 "
"Praia de Taíba","São Gonçalo do Amarante","CE","23/9 "
"Paracuru","Paracuru","CE","23/9 "
"Praia de Alagamar","Natal","RN","24/9 "
"Praia de Ponta dos Mangues","Pacatuba","SE","24/9 "
"Praia de Jatobá","Barra dos Coqueiros","SE","24/9 "
"Barra dos Coqueiros","Barra dos Coqueiros","SE","24/9 "
"Praia do Pirambu","Pirambu","SE","24/9 "
"Santo Amaro do Maranhão","Santo Amaro do Maranhão","MA","25/9 "
"Ilha do Livramento","Alcântara","MA","25/9 "
"Praia da Mamuna","Alcântara","MA","25/9 "
"Travosa","Santo Amaro do Maranhão","MA","25/9 "
"São José da Coroa Grande","São José da Coroa Grande","PE","25/9 "
"Malhada","Jijoca de Jericoacoara","CE","26/9 "
"Av. Litorânea","São Luís","MA","26/9 "
"Praia de Sabiaguaba","Fortaleza","CE","26/9 "
"Pontal do Coruripe","Coruripe","AL","27/9 "
"Praia do Arrombado","Luís Correia","PI","27/9 "
"Lagoa do Pau","Coruripe","AL","27/9 "
"Pontal de Maceió","Fortim","CE","28/9 "
"Praia Peito de Moça","Luís Correia","PI","30/9 "
"Praia do Coqueiro","Luís Correia","PI","30/9 "
"Luís Correia","Luís Correia","PI","30/9 "
"Atalaia","Luís Correia","PI","30/9 "
"Praia do Amor","Conde","PB","30/9 "
"Pedra do Sal","Parnaíba","PI","30/9 "
"Piaçabuçu","Piaçabuçu","AL","1/10 "
"Santo Antônio","Mata de São João","BA","1/10 "
"Lagoinha","Paraipaba","CE","1/10 "
"Atalaia","Aracaju","SE","2/10 "
"Caueira","Itaporanga D'ajuda","SE","3/10 "
"Sítio do Conde","Conde","BA","4/10 "
"Jandaíra","Jandaíra","BA","4/10 "
"Mangue Seco","Jandaíra","BA","4/10 "
"Itariri","Conde","BA","5/10 "
"Conde","Jandaíra","BA","5/10 "
"Praia do Pontal do Peba (norte)","Piaçabuçu","AL","5/10 "
"Praia do Futuro","Fortaleza","CE","6/10 "
"Foz do Rio Subauma","Entre Rios","BA","7/10 "
"Mamucabo","Esplanada","BA","7/10 "
"Baixio","Esplanada","BA","7/10 "
"Foz do Rio Inhampube","Esplanada","BA","7/10 "
"Praia do Forte","Mata de São João","BA","8/10 "
"Porto de Sauípe","Entre Rios","BA","9/10 "
"Praia de Itacimirim","Camaçari","BA","9/10 "
"Guarajuba","Camaçari","BA","9/10 "
"Foz do Rio São Francisco","Brejo Grande","SE","9/10 "
"Foz do Rio São Francisco","Piaçabuçu","AL","9/10 "
"Arembepe","Camaçari","BA","10/10 "
"Imbassaí","Mata de São João","BA","10/10 "
"Ilha Caçacueira","Cururupu","MA","10/10 "
"Praia de Massarandupio","Entre Rios","BA","11/10 "
"Praia dos Artistas","Salvador","BA","11/10 "
"Praia do Corsário","Salvador","BA","11/10 "
"Praia Vilas do Atlântico","Lauro de Freitas","BA","11/10 "
"Mangue","Itaporanga D'ajuda","SE","12/10 "
"Coruripe","Coruripe","AL","12/10 "
"Ponte Gilberto Amado","Estância","SE","12/10 "
"Barra do Rio Santo Antônio","Barra de Santo Antônio","AL","13/10 "
"Ilha da Croa","Barra de Santo Antônio","AL","13/10 "
"Barra do Santo Antônio","Barra de Santo Antônio","AL","13/10 "
